2021-11-22 01:23:07 - /root/Documents/Panda/target/bin/detectors.csv does not exist
2021-11-22 01:27:37 - 192.168.1.49 - 142.250.72.142: 0
2021-11-22 01:27:37 - 137.135.83.217 - 192.168.1.109: 0
2021-11-22 01:27:37 - 137.135.83.217 - 192.168.1.149: 0
2021-11-22 01:27:47 - 192.168.1.49 - 230.0.0.1: 0
2021-11-22 01:27:47 - 137.135.83.217 - 192.168.1.135: 0
2021-11-22 01:27:47 - 137.135.83.217 - 192.168.1.110: 0
2021-11-22 01:27:47 - 137.135.83.217 - 192.168.1.133: 0
2021-11-22 01:27:47 - 137.135.83.217 - 192.168.1.138: 0
2021-11-22 01:27:47 - 137.135.83.217 - 192.168.1.130: 0
2021-11-22 01:27:47 - 192.168.1.49 - 34.233.144.200: 0
2021-11-22 01:27:47 - 8.6.0.1 - 8.0.6.4: 0
2021-11-22 01:27:47 - 192.168.1.49 - 74.125.155.138: 0
2021-11-22 01:27:47 - 192.168.1.49 - 20.42.65.89: 0
2021-11-22 01:27:59 - 137.135.83.217 - 192.168.1.101: 0
2021-11-22 01:27:59 - 137.135.83.217 - 192.168.1.132: 0
2021-11-22 01:27:59 - 137.135.83.217 - 192.168.1.106: 0
2021-11-22 01:27:59 - 137.135.83.217 - 192.168.1.121: 0
2021-11-22 01:27:59 - 137.135.83.217 - 192.168.1.120: 0
2021-11-22 01:27:59 - 192.168.1.49 - 52.6.243.110: 0
2021-11-22 01:28:00 - 192.168.1.1 - 239.255.255.250: 0
2021-11-22 01:28:00 - 137.135.83.217 - 192.168.1.146: 0
2021-11-22 01:28:00 - 137.135.83.217 - 192.168.1.126: 0
2021-11-22 01:28:00 - 137.135.83.217 - 192.168.1.116: 0
2021-11-22 01:28:00 - 137.135.83.217 - 192.168.1.128: 0
2021-11-22 01:28:00 - 52.114.142.241 - 192.168.1.49: 0
2021-11-22 01:28:00 - 137.135.83.217 - 192.168.1.186: 0
2021-11-22 01:28:00 - 192.168.1.49 - 34.237.73.95: 0
2021-11-22 01:28:00 - 137.135.83.217 - 192.168.1.137: 0
2021-11-22 01:28:08 - 192.168.1.49 - 3.217.216.181: 0
