2021-12-16 13:48:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 768 flow
2021-12-16 13:48:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 770 flow
2021-12-16 13:48:23 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 778 flow
2021-12-16 13:48:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 783 flow
2021-12-16 13:48:24 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 784 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 789 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 788 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 786 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 786 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 786 flow
2021-12-16 13:48:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 790 flow
2021-12-16 13:48:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 781 flow
2021-12-16 13:48:27 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 775 flow
2021-12-16 13:48:28 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 737 flow
2021-12-16 13:48:28 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 740 flow
2021-12-16 13:48:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 741 flow
2021-12-16 13:48:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 742 flow
2021-12-16 13:48:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 742 flow
2021-12-16 13:48:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 743 flow
2021-12-16 13:48:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 743 flow
2021-12-16 13:48:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 746 flow
2021-12-16 13:48:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 801 flow
2021-12-16 13:48:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 801 flow
2021-12-16 13:48:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 799 flow
2021-12-16 13:48:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 802 flow
2021-12-16 13:48:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 816 flow
2021-12-16 13:48:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 818 flow
2021-12-16 13:48:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 823 flow
2021-12-16 13:48:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 825 flow
2021-12-16 13:48:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 828 flow
2021-12-16 13:48:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 832 flow
2021-12-16 13:48:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 837 flow
2021-12-16 13:48:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 836 flow
2021-12-16 13:48:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 842 flow
2021-12-16 13:48:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 841 flow
2021-12-16 13:48:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 843 flow
2021-12-16 13:48:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 843 flow
2021-12-16 13:48:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 847 flow
2021-12-16 13:48:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 847 flow
2021-12-16 13:48:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 828 flow
2021-12-16 13:48:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 829 flow
2021-12-16 13:48:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 829 flow
2021-12-16 13:48:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 831 flow
2021-12-16 13:48:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 835 flow
2021-12-16 13:48:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 834 flow
2021-12-16 13:48:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 854 flow
2021-12-16 13:48:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 860 flow
2021-12-16 13:48:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 869 flow
2021-12-16 13:48:44 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 866 flow
2021-12-16 13:48:45 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 867 flow
2021-12-16 13:48:45 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 871 flow
2021-12-16 13:48:45 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 873 flow
2021-12-16 13:48:45 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 875 flow
2021-12-16 13:48:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 876 flow
2021-12-16 13:48:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 879 flow
2021-12-16 13:48:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 885 flow
2021-12-16 13:48:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 885 flow
2021-12-16 13:48:49 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 885 flow
2021-12-16 13:48:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 887 flow
2021-12-16 13:48:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 887 flow
2021-12-16 13:48:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 887 flow
2021-12-16 13:48:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 888 flow
2021-12-16 13:48:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 891 flow
2021-12-16 13:48:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 883 flow
2021-12-16 13:48:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 907 flow
2021-12-16 13:48:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 917 flow
2021-12-16 13:48:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 922 flow
2021-12-16 13:48:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 922 flow
2021-12-16 13:48:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 925 flow
2021-12-16 13:48:56 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 926 flow
2021-12-16 13:48:57 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 928 flow
2021-12-16 13:48:58 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 933 flow
2021-12-16 13:48:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 926 flow
2021-12-16 13:48:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 932 flow
2021-12-16 13:48:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 931 flow
2021-12-16 13:48:59 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 932 flow
2021-12-16 13:49:00 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 932 flow
2021-12-16 13:49:00 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 932 flow
2021-12-16 13:49:00 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 932 flow
2021-12-16 13:49:00 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 932 flow
2021-12-16 13:49:00 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 933 flow
2021-12-16 13:49:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 937 flow
2021-12-16 13:49:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 938 flow
2021-12-16 13:49:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 937 flow
2021-12-16 13:49:01 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 940 flow
